tanggal,Philip_5Y,Philip_10Y,India_5Y,India_10Y,Brazil_5Y,Brazil_10Y,Turki_5Y,Turki_10Y,Mexico_5Y,Mexico_10Y,Malaysia_5Y,Malaysia_10Y,Thailand_5Y,Thailand_10Y,China_5Y,China_10Y,South_Africa_5Y,South_Africa_10Y,Argentina_5Y,Argentina_10Y,Colombia_5Y,Colombia_10Y,Indonesia_5Y,Indonesia_10Y
2025-02-26,64.755,113.005,46.88,91.425,173.72,283.335,252.725,349.915,119.515,197.055,44.24,75.33,41.55,65.415,45.735,66.83,194.41,305.9,1076.33,969.82,188.335,317.995,74.64,121.395
2025-02-27,66.41,115.33,46.86,91.615,177.85,290.55,254.28,350.82,125.0,203.45,45.005,76.41,41.74,65.7,47.445,68.805,194.74,306.125,1089.06,975.79,191.625,324.715,76.3,123.59
2025-02-28,69.215,119.11,44.79,88.35,181.34,292.38,257.265,354.73,120.845,200.29,47.35,80.095,43.725,68.14,48.0,69.49,196.6,309.64,1093.99,978.36,191.685,323.995,79.115,127.38
2025-03-03,67.93,117.375,45.26,88.995,183.125,293.23,254.055,351.38,125.42,203.84,46.09,78.43,42.74,66.91,47.155,68.515,196.465,309.27,1045.91,944.11,194.775,323.47,77.68,125.535
2025-03-04,69.33,119.355,44.44,87.915,181.37,292.2,259.28,356.63,126.04,204.81,48.005,81.03,44.935,69.66,47.62,69.075,201.87,314.205,1047.14,946.355,193.84,323.695,79.08,127.415
2025-03-05,68.3,117.73,45.08,88.47,176.47,288.355,256.55,354.02,121.16,200.61,47.46,78.995,44.015,68.455,46.465,67.67,198.745,311.4,1033.81,934.585,192.6,324.615,78.035,125.85
2025-03-06,67.565,116.805,44.315,87.46,176.035,287.93,260.33,358.235,122.78,201.97,47.22,78.7,43.725,68.095,47.925,69.36,201.225,313.795,1032.24,934.68,197.465,327.49,77.565,125.31
2025-03-07,67.34,116.49,44.275,87.255,173.93,283.64,259.905,357.785,122.125,199.325,47.295,78.77,43.695,68.035,47.345,68.665,201.365,313.98,1016.84,932.83,196.135,323.38,77.29,124.945
2025-03-10,68.08,117.44,44.93,88.15,179.02,292.58,263.2,360.075,126.325,205.97,47.87,79.495,44.285,68.735,49.315,70.935,204.475,316.83,1028.88,932.735,201.77,334.925,78.145,125.995
2025-03-11,69.82,119.905,46.495,90.83,178.725,291.45,263.56,360.81,126.08,205.69,49.22,81.34,46.0,70.905,49.085,70.72,203.98,316.545,1036.37,936.565,201.375,333.1,79.59,127.95
2025-03-12,69.345,119.14,48.245,93.355,176.005,287.925,263.225,359.925,125.295,204.94,48.985,80.945,45.96,70.805,48.225,69.635,205.835,316.545,1033.9,936.34,197.415,330.715,79.38,127.55
2025-03-13,70.75,120.985,46.765,91.095,180.05,290.985,261.24,357.96,130.745,209.485,49.295,81.33,46.41,71.335,49.2,70.82,204.505,316.69,1064.31,969.145,203.635,334.935,81.275,129.93
2025-03-14,71.11,121.465,47.845,92.85,177.93,289.12,261.78,356.24,128.52,208.995,48.84,80.75,46.99,72.045,48.9,70.235,203.815,314.725,1069.8,959.375,199.775,332.85,82.435,131.39
2025-03-17,71.59,122.035,47.715,92.53,175.165,285.625,257.13,353.63,126.325,205.31,48.14,79.8,46.755,71.705,48.72,70.095,201.235,313.735,1062.67,959.09,196.83,328.555,82.875,131.88
2025-03-18,71.48,121.915,48.415,93.36,172.26,282.75,255.11,351.945,125.05,204.18,46.945,78.28,46.19,71.04,47.755,69.005,199.595,312.015,1087.82,977.815,202.505,334.16,85.425,135.11
2025-03-19,70.205,120.235,46.595,90.87,169.83,281.68,275.635,370.32,120.02,199.715,46.445,77.62,45.8,70.55,47.02,68.14,200.08,311.93,1082.04,964.905,193.8,325.785,84.47,133.93
2025-03-20,74.81,117.25,52.93,93.86,190.47,298.205,294.73,386.92,135.805,212.185,49.435,76.47,48.81,69.725,49.755,67.93,217.92,330.105,1063.42,971.45,221.12,348.22,89.93,132.285
2025-03-21,75.25,117.85,52.62,93.74,190.48,290.225,327.525,411.59,137.015,212.895,49.815,81.605,50.19,71.375,51.23,69.615,222.095,335.285,1089.12,991.415,226.79,358.51,91.66,134.41
2025-03-24,73.89,116.08,52.68,93.54,183.945,290.0,317.245,398.16,131.46,206.0,48.685,81.41,49.49,69.435,49.64,71.08,216.92,328.985,1072.7,982.44,219.625,341.005,92.43,134.59
2025-03-25,73.285,115.245,51.17,91.41,181.075,289.61,300.205,381.73,131.85,208.77,48.075,81.35,48.76,68.565,49.235,70.675,212.3,324.63,1062.43,981.65,219.02,347.385,92.84,134.66
2025-03-26,73.055,114.945,50.125,89.815,183.565,291.69,306.92,388.745,134.315,211.52,48.305,81.655,48.46,68.21,50.305,71.94,213.76,326.11,1060.04,969.06,225.24,352.97,92.185,133.86
