tanggal,Yield_BRA_MAY_54,Yield_CHIL_JAN_54,Yield_COL_NOV_54,Yield_INDO_SEP_54,Yield_KSA_JAN_54,Yield_MEX_MAY_55,Yield_SOAF_NOV_54,Yield_US_CT_30Y,Spread_BRA_MAY_54,Spread_CHIL_JAN_54,Spread_COL_NOV_54,Spread_INDO_SEP_54,Spread_KSA_JAN_54,Spread_MEX_MAY_55,Spread_SOAF_NOV_54,Yield_BRA_JAN_56,Spread_BRA_JAN_56
2019-09-02,4.665,2.798,3.763,3.631,3.633,4.082,5.353,1.964,270.1,83.4,179.9,166.7,166.9,211.8,338.9,,
2019-09-03,4.654,2.786,3.739,3.605,3.63,4.082,5.326,1.953,270.1,83.3,178.6,165.2,167.7,212.9,337.3,,
2019-09-04,4.609,2.745,3.721,3.596,3.612,4.058,5.257,1.971,263.8,77.4,175.0,162.5,164.1,208.7,328.6,,
2019-09-05,4.637,2.825,3.78,3.597,3.658,4.106,5.28,2.05,258.7,77.5,173.0,154.7,160.8,205.6,323.0,,
2019-09-06,4.629,2.82,3.788,3.669,3.696,4.089,5.349,2.026,260.3,79.4,176.2,164.3,167.0,206.3,332.3,,
2019-09-09,4.651,2.869,3.854,3.668,3.776,4.147,5.372,2.129,252.2,74.0,172.5,153.9,164.7,201.8,324.3,,
2019-09-10,4.706,2.964,3.962,3.723,3.82,4.232,5.438,2.217,248.9,74.7,174.5,150.6,160.3,201.5,322.1,,
2019-09-11,4.707,2.98,3.957,3.778,3.815,4.217,5.483,2.222,248.5,75.8,173.5,155.6,159.3,199.5,326.1,,
2019-09-12,4.701,2.98,3.98,3.739,3.777,4.234,5.442,2.256,244.5,72.4,172.4,148.3,152.1,197.8,318.6,,
2019-09-13,4.791,3.137,4.079,3.764,3.932,4.369,5.507,2.372,241.9,76.5,170.7,139.2,156.0,199.7,313.5,,
2019-09-16,4.77,3.138,4.085,3.833,3.985,4.357,5.507,2.319,245.1,81.9,176.6,151.4,166.6,203.8,318.8,,
2019-09-17,4.754,3.12,4.051,3.807,3.954,4.333,5.531,2.269,248.5,85.1,178.2,153.8,168.5,206.4,326.2,,
2019-09-18,4.737,3.092,4.026,3.724,3.935,4.284,5.523,2.243,249.4,84.9,178.3,148.1,169.2,204.1,328.0,,
2019-09-19,4.732,3.063,3.984,3.709,3.912,4.25,5.531,2.229,250.3,83.4,175.5,148.0,168.3,202.1,330.2,,
2019-09-20,4.744,3.031,3.969,3.682,3.833,4.213,5.547,2.162,258.2,86.9,180.7,152.0,167.1,205.1,338.5,,
2019-09-23,4.741,3.015,3.936,3.645,3.844,4.193,5.563,2.174,256.7,84.1,176.2,147.1,167.0,201.9,338.9,,
2019-09-24,4.759,3.02,3.952,3.683,3.849,4.196,5.67,2.104,265.5,91.6,184.8,157.9,174.5,209.2,356.6,,
2019-09-25,4.796,3.078,4.008,3.711,3.923,4.23,5.703,2.187,260.9,89.1,182.1,152.4,173.6,204.3,351.6,,
