tanggal,CDS_CBIN_5Y,CDS_CBIN_10Y
2020-04-06,242.575,326.58
2020-04-07,229.825,312.325
2020-04-08,234.91,317.845
2020-04-09,203.32,282.49
2020-04-10,200.735,279.215
2020-04-13,205.97,285.1
2020-04-14,184.335,260.495
2020-04-15,206.1,285.45
2020-04-16,204.81,277.67
2020-04-17,200.525,272.925
2020-04-20,206.83,279.8
2020-04-21,218.35,292.61
2020-04-22,220.01,297.995
2020-04-23,220.645,298.39
2020-04-24,224.72,303.125
2020-04-27,228.16,306.89
2020-04-28,228.1,306.665
2020-04-29,214.215,288.19
2020-04-30,212.875,286.67
2020-05-01,218.1,292.285
2020-05-04,221.07,295.53
2020-05-05,214.72,288.545
2020-05-06,216.91,290.905
2020-05-07,210.825,284.145
2020-05-08,208.605,281.815
2020-05-11,205.33,276.335
2020-05-12,206.575,277.6
2020-05-13,209.4,280.76
2020-05-14,205.545,276.57
2020-05-15,205.41,275.0
2020-05-18,195.91,264.55
2020-05-19,187.09,254.65
2020-05-20,180.27,254.965
2020-05-21,172.66,246.24
2020-05-22,180.17,254.855
2020-05-25,175.505,249.465
2020-05-26,171.68,242.69
2020-05-27,165.34,235.42
2020-05-28,163.39,233.195
2020-05-29,165.945,236.07
2020-06-01,156.555,225.35
2020-06-02,146.115,213.325
2020-06-03,138.63,204.575
2020-06-04,132.22,198.33
2020-06-05,118.695,182.155
2020-06-08,109.675,171.125
2020-06-09,115.615,178.38
2020-06-10,117.73,181.015
2020-06-11,137.08,204.525
2020-06-12,134.14,207.845
2020-06-15,138.96,213.58
2020-06-16,123.35,194.655
2020-06-17,120.755,193.1
2020-06-18,128.15,202.355
2020-06-19,125.315,198.91
2020-06-22,127.245,201.27
2020-06-23,125.66,199.265
2020-06-24,133.855,209.4
2020-06-25,136.18,212.295
2020-06-26,135.48,211.41
2020-06-29,135.925,211.99
2020-06-30,131.445,199.87
2020-07-01,124.785,191.84
2020-07-02,124.02,190.65
2020-07-03,121.19,187.44
2020-07-06,119.87,187.345
2020-07-07,120.975,188.645
2020-07-08,122.825,190.98
2020-07-09,124.775,193.305
2020-07-10,125.61,194.38
2020-07-13,122.92,190.995
2020-07-14,129.09,198.52
2020-07-15,125.3,193.925
2020-07-16,127.95,197.105
2020-07-17,127.08,196.07
2020-07-20,125.51,194.135
2020-07-21,119.24,186.535
2020-07-22,117.02,183.83
2020-07-23,115.455,181.915
2020-07-24,118.405,185.815
2020-07-27,117.525,184.405
2020-07-28,118.555,185.59
2020-07-29,117.345,184.155
2020-07-30,118.115,185.11
2020-07-31,115.975,182.525
2020-08-03,113.325,179.235
2020-08-04,112.78,178.54
