tanggal_lelang_pricing,tanggal_setelmen,metode,seri,code,jatuh_tempo,kupon_imbalan,lowest_incoming_yield_price,way_incoming,highest_incoming_yield_price,lowest_awarded_yield_price,way_awarded,highest_awarded_yield_price,target_penerbitan,total_penawaran,jumlah_penawaran_per_lelang,total_penawaran_memenuhi_benchmark,jumlah_penawaran_memenuhi_benchmark_per_lelang,total_penawaran_diterima,jumlah_penawaran_diterima_per_lelang,bid_to_cover_ratio,owners_estimate,tenor,,
2021-09-28,2021-09-30,Lelang,SPN03211229,spn03m,2021-12-29,Diskonto,0.0275,0.0279584,0.0285,0.0275,0.027592,0.0277,12000000,4230000,58829600,1850000,13400000,1000000,12000000,4.23,0.0277,0.252054795,,
2021-09-28,2021-09-30,Lelang,SPN12220707,spn12m,2022-07-07,Diskonto,0.0293,0.02995,0.0305,0.0293,0.0295,0.0296,12000000,7505000,58829600,900000,13400000,900000,12000000,8.338888888888889,0.0295,0.77260274,,
2021-09-28,2021-09-30,Lelang,FR0090,bm05,2027-04-15,0.05125,0.0508,0.0512621,0.0523,0.0508,0.0509925,0.0511,12000000,17676000,58829600,6150000,13400000,5750000,12000000,3.074086956521739,0.051,5.545774648,,
2021-09-28,2021-09-30,Lelang,FR0091,bm10,2032-04-15,0.06375,0.0609,0.061812,0.063,0.0609,0.0611753,0.0613,12000000,12977200,58829600,1250000,13400000,1100000,12000000,11.797454545454546,0.0612,10.54620123,,
2021-09-28,2021-09-30,Lelang,FR0088,bm15,2036-06-15,0.0625,0.0629,0.0635561,0.0641,0.0629,0.0632987,0.0635,12000000,2685300,58829600,750000,13400000,750000,12000000,3.5804,0.0633,14.71321013,,
2021-09-28,2021-09-30,Lelang,FR0092,bm20,2042-06-15,0.07125,0.0678,0.0686288,0.0695,0.0678,0.0681984,0.0683,12000000,12614100,58829600,2450000,13400000,2450000,12000000,5.148612244897959,0.0682,20.71313006,,
2021-09-28,2021-09-30,Lelang,FR0089,bm30,2051-08-15,0.06875,0.0679,0.0685635,0.0689,0.0679,0.0680911,0.0682,12000000,1142000,58829600,50000,13400000,50000,12000000,22.84,0.0681,29.88014485,,
2021-10-12,2021-10-14,Lelang,SPN03220112,spn03m,2022-01-12,Diskonto,0.027,0.0277816,0.0282,0.027,0.02743,0.0275,8000000,6240000,50147800,3650000,21100000,1000000,8000000,6.24,0.0276,0.252054795,,
2021-10-12,2021-10-14,Lelang,SPN12221013,spn12m,2022-10-13,Diskonto,0.0295,0.0302282,0.031,0.0295,0.02974,0.0299,8000000,8610000,50147800,4100000,21100000,1000000,8000000,8.61,0.03,1.002739726,,
2021-10-12,2021-10-14,Lelang,FR0090,bm05,2027-04-15,0.05125,0.0505,0.0509824,0.0518,0.0505,0.0505977,0.0507,8000000,13727000,50147800,1000000,21100000,1000000,8000000,13.727,0.0506,5.50743349,,
2021-10-12,2021-10-14,Lelang,FR0091,bm10,2032-04-15,0.06375,0.0618,0.0624319,0.0638,0.0618,0.0621,0.0622,8000000,7355600,50147800,750000,21100000,750000,8000000,9.807466666666668,0.0621,10.50787132,,
2021-10-12,2021-10-14,Lelang,FR0088,bm15,2036-06-15,0.0625,0.063,0.0637017,0.0641,0.063,0.0634999,0.0637,8000000,2613100,50147800,1000000,21100000,1000000,8000000,2.6131,0.0635,14.67488022,,
2021-10-12,2021-10-14,Lelang,FR0092,bm20,2042-06-15,0.07125,0.069,0.0697317,0.0717,0.069,0.069,0.069,8000000,10097800,50147800,9950000,21100000,2650000,8000000,3.810490566037736,0.0697,20.67479776,,
2021-10-12,2021-10-14,Lelang,FR0089,bm30,2051-08-15,0.06875,0.0683,0.0690079,0.0693,0.0683,0.0686652,0.0688,8000000,1504300,50147800,650000,21100000,600000,8000000,2.5071666666666665,0.0687,29.8418124,,
2021-10-26,2021-10-28,Lelang,SPN03220126,spn03m,2022-01-26,Diskonto,0.027,0.027639,0.0279,0.027,0.02743,0.0275,8000000,4270000,69535100,1950000,22650000,1000000,8000000,4.27,0.0275,0.252054795,,
2021-10-26,2021-10-28,Lelang,SPN12220707,spn12m,2022-07-07,Diskonto,0.0285,0.0291969,0.03,0.0285,0.02867,0.0288,8000000,8500000,69535100,4300000,22650000,1000000,8000000,8.5,0.029,0.695890411,,
2021-10-26,2021-10-28,Lelang,FR0090,bm05,2027-04-15,0.05125,0.048,0.0498452,0.0507,0.048,0.0493221,0.0494,8000000,17349000,69535100,2850000,22650000,1600000,8000000,10.843125,0.0494,5.469092332,,
2021-10-26,2021-10-28,Lelang,FR0091,bm10,2032-04-15,0.06375,0.0598,0.0602717,0.0615,0.0598,0.059898,0.06,8000000,18367000,69535100,1050000,22650000,1050000,8000000,17.49238095238095,0.0599,10.46954141,,
2021-10-26,2021-10-28,Lelang,FR0088,bm15,2036-06-15,0.0625,0.062,0.0626486,0.0633,0.062,0.0624069,0.0625,8000000,5068900,69535100,2150000,22650000,1200000,8000000,4.224083333333334,0.0625,14.63655031,,
2021-10-26,2021-10-28,Lelang,FR0092,bm20,2042-06-15,0.07125,0.068,0.068542,0.07,0.068,0.068,0.068,8000000,13678800,69535100,8300000,22650000,950000,8000000,14.398736842105263,0.0681,20.63646546,,
2021-10-26,2021-10-28,Lelang,FR0089,bm30,2051-08-15,0.06875,0.0679,0.0682252,0.069,0.0679,0.0680788,0.0682,8000000,2301400,69535100,2050000,22650000,1200000,8000000,1.9178333333333333,0.0682,29.80347995,,
2022-01-04,2022-01-06,Lelang,SPN03220406,spn03m,2022-04-06,Diskonto,0.027,0.0281183,0.0305,0.027,0.027064,0.0271,25000000,12680000,77578900,7750000,48440000,1000000,25000000,12.68,0.0275,0.252054795,,
2022-01-04,2022-01-06,Lelang,SPN12230105,spn12m,2023-01-05,Diskonto,0.0295,0.030488,0.032,0.0295,0.029875,0.03,25000000,12520000,77578900,10840000,48440000,2000000,25000000,6.26,0.0305,1.002739726,,
2022-01-04,2022-01-06,Lelang,FR0090,bm05,2027-04-15,0.05125,0.0489,0.0500248,0.0514,0.0489,0.0493654,0.05,25000000,7368000,77578900,7250000,48440000,3800000,25000000,1.9389473684210523,0.05,5.277042446,,
2022-01-04,2022-01-06,Lelang,FR0091,bm10,2032-04-15,0.06375,0.0622,0.0628644,0.064,0.0622,0.0626323,0.063,25000000,11579300,77578900,8850000,48440000,7500000,25000000,1.5439066666666668,0.0627,10.27725236,,
2022-01-04,2022-01-06,Lelang,FR0093,bm15,2037-07-15,0.06375,0.0635,0.0668011,0.07,0.0635,0.064628,0.065,25000000,26823200,77578900,9200000,48440000,6300000,25000000,4.257650793650794,0.065,15.52635181,,
2022-01-04,2022-01-06,Lelang,FR0092,bm20,2042-06-15,0.07125,0.0685,0.0689874,0.0707,0.0685,0.0685997,0.0687,25000000,4827500,77578900,2850000,48440000,2850000,25000000,1.693859649122807,0.0686,20.44419817,,
2022-01-04,2022-01-06,Lelang,FR0089,bm30,2051-08-15,0.06875,0.0678,0.0685233,0.0696,0.0678,0.068448,0.0685,25000000,1780900,77578900,1700000,48440000,1550000,25000000,1.1489677419354838,0.0685,29.61120745,,
2022-01-18,2022-01-20,Lelang,SPN03220420,spn03m,2022-04-20,Diskonto,0.026,0.0269854,0.029,0.026,0.026171,0.0263,25000000,16455000,84843100,15510000,45310000,1000000,25000000,16.455,0.027,0.252054795,,
2022-01-18,2022-01-20,Lelang,SPN12230105,spn12m,2023-01-05,Diskonto,0.0285,0.0298471,0.031,0.0285,0.029215,0.0294,25000000,16410000,84843100,7650000,45310000,2000000,25000000,8.205,0.0295,0.964383562,,
2022-01-18,2022-01-20,Lelang,FR0090,bm05,2027-04-15,0.05125,0.0505,0.0520109,0.0535,0.0505,0.0515997,0.0518,25000000,14939500,84843100,3800000,45310000,3800000,25000000,3.9314473684210527,0.0516,5.238703788,,
2022-01-18,2022-01-20,Lelang,FR0091,bm10,2032-04-15,0.06375,0.0634,0.0640759,0.0655,0.0634,0.0637989,0.064,25000000,14669700,84843100,6050000,45310000,6050000,25000000,2.4247438016528924,0.0638,10.23892484,,
2022-01-18,2022-01-20,Lelang,FR0093,bm15,2037-07-15,0.06375,0.0636,0.0642606,0.0655,0.0636,0.0639984,0.0642,25000000,6394100,84843100,2800000,45310000,2800000,25000000,2.283607142857143,0.064,15.4880219,,
2022-01-18,2022-01-20,Lelang,FR0092,bm20,2042-06-15,0.07125,0.069,0.0698973,0.0716,0.069,0.0693821,0.0702,25000000,15185300,84843100,8900000,45310000,8750000,25000000,1.7354628571428572,0.0694,20.40586701,,
2022-01-18,2022-01-20,Lelang,FR0089,bm30,2051-08-15,0.06875,0.0682,0.0688668,0.0694,0.0682,0.0687992,0.069,25000000,789500,84843100,600000,45310000,600000,25000000,1.3158333333333334,0.0688,29.57287579,,
2022-02-02,2022-02-04,Lelang,SPN03220505,spn03m,2022-05-05,Diskonto,0.0238,0.0254998,0.0275,0.0238,0.02384,0.0239,25000000,13340000,72070600,9100000,41400000,1000000,25000000,13.34,0.025,0.252054795,,
2022-02-02,2022-02-04,Lelang,SPN12230203,spn12m,2023-02-03,Diskonto,0.0283,0.029223,0.031,0.0283,0.02837,0.0284,25000000,14900000,72070600,3750000,41400000,2000000,25000000,7.45,0.0285,1.002739726,,
2022-02-02,2022-02-04,Lelang,FR0090,bm05,2027-04-15,0.05125,0.0515,0.0522751,0.0529,0.0515,0.0519987,0.0524,25000000,10450000,72070600,7000000,41400000,7000000,25000000,1.4928571428571429,0.052,5.197626654,,
2022-02-02,2022-02-04,Lelang,FR0091,bm10,2032-04-15,0.06375,0.0638,0.0643502,0.065,0.0638,0.0640988,0.0644,25000000,13825100,72070600,6400000,41400000,6400000,25000000,2.160171875,0.0641,10.19785963,,
2022-02-02,2022-02-04,Lelang,FR0093,bm15,2037-07-15,0.06375,0.064,0.0646744,0.0651,0.064,0.0643861,0.0646,25000000,2899300,72070600,550000,41400000,550000,25000000,5.271454545454546,0.0644,15.44695414,,
2022-02-02,2022-02-04,Lelang,FR0092,bm20,2042-06-15,0.07125,0.0686,0.0693288,0.0708,0.0686,0.0689881,0.069,25000000,15764900,72070600,13950000,41400000,7400000,25000000,2.130391891891892,0.0692,20.36479791,,
2022-02-02,2022-02-04,Lelang,FR0089,bm30,2051-08-15,0.06875,0.0687,0.069094,0.0695,0.0687,0.0689993,0.0691,25000000,891300,72070600,650000,41400000,650000,25000000,1.3712307692307693,0.069,29.53180615,,
2022-02-15,2022-02-17,Lelang,SPN03220518,spn03m,2022-05-18,Diskonto,0.0218,0.0233043,0.026,0.0218,0.0218,0.0218,25000000,15965000,76772200,5600000,41502000,1000000,23000000,15.965,0.0225,0.252054795,,
2022-02-15,2022-02-17,Lelang,SPN12230203,spn12m,2023-02-03,Diskonto,0.0275,0.0282045,0.029,0.0275,0.02768,0.0279,25000000,25230000,76772200,10000000,41502000,2000000,23000000,12.615,0.028,0.967123288,,
2022-02-15,2022-02-17,Lelang,FR0090,bm05,2027-04-15,0.05125,0.0525,0.0533263,0.0541,0.0525,0.0530984,0.0533,25000000,6697500,76772200,3500000,41502000,3500000,23000000,1.9135714285714285,0.0531,5.162026472,,
2022-02-15,2022-02-17,Lelang,FR0091,bm10,2032-04-15,0.06375,0.0647,0.0651258,0.066,0.0647,0.064999,0.0652,25000000,13925700,76772200,9050000,41502000,9050000,23000000,1.5387513812154696,0.065,10.16226979,,
2022-02-15,2022-02-17,Lelang,FR0093,bm15,2037-07-15,0.06375,0.0645,0.0652853,0.0659,0.0645,0.0650629,0.0653,25000000,1847000,76772200,300000,41502000,300000,23000000,6.156666666666666,0.0651,15.41136208,,
2022-02-15,2022-02-17,Lelang,FR0092,bm20,2042-06-15,0.07125,0.069,0.0694177,0.0707,0.069,0.0690186,0.0694,25000000,12002000,76772200,12002000,41502000,6100000,23000000,1.9675409836065567,0.0696,20.32920469,,
2022-02-15,2022-02-17,Lelang,FR0089,bm30,2051-08-15,0.06875,0.0686,0.0691295,0.07,0.0686,0.0690987,0.0695,25000000,1105000,76772200,1050000,41502000,1050000,23000000,1.0523809523809524,0.0691,29.49621247,,
2022-03-01,2022-03-04,Lelang,SPN03220602,spn03m,2022-06-02,Diskonto,0.0215,0.0224611,0.0238,0.0215,0.02174,0.022,23000000,8180000,61519000,3860000,30940285,1000000,19000000,8.18,0.0225,0.254794521,,
2022-03-01,2022-03-04,Lelang,SPN12230303,spn12m,2023-03-03,Diskonto,0.027,0.0277703,0.029,0.027,0.02716,0.0275,23000000,24100000,61519000,7900000,30940285,2000000,19000000,12.05,0.0275,1.005479452,,
2022-03-01,2022-03-04,Lelang,FR0090,bm05,2027-04-15,0.05125,0.053,0.0536534,0.054,0.053,0.053496,0.0537,23000000,3051400,61519000,1750000,30940285,1750000,19000000,1.7436571428571428,0.0537,5.123687814,,
2022-03-01,2022-03-04,Lelang,FR0091,bm10,2032-04-15,0.06375,0.0647,0.0652057,0.066,0.0647,0.0650348,0.0652,23000000,15293400,61519000,10600000,30940285,7700000,19000000,1.986155844155844,0.0651,10.12394226,,
2022-03-01,2022-03-04,Lelang,FR0093,bm15,2037-07-15,0.06375,0.0646,0.0651629,0.0659,0.0646,0.0650994,0.0652,23000000,2626200,61519000,1980285,30940285,1700000,19000000,1.5448235294117647,0.0652,15.37303217,,
2022-03-01,2022-03-04,Lelang,FR0092,bm20,2042-06-15,0.07125,0.0687,0.0692622,0.07,0.0687,0.0689988,0.0691,23000000,6951300,61519000,4150000,30940285,4150000,19000000,1.675012048192771,0.069,20.29087353,,
2022-03-01,2022-03-04,Lelang,FR0089,bm30,2051-08-15,0.06875,0.0687,0.069248,0.0698,0.0687,0.0689964,0.069,23000000,1316700,61519000,700000,30940285,700000,19000000,1.881,0.069,29.45788081,,
2022-03-15,2022-03-17,Lelang,SPN03220615,spn03m,2022-06-15,Diskonto,0.021,0.023608,0.0265,0.021,0.021,0.021,20000000,8200000,49161700,6600000,32450000,1000000,17250000,8.2,0.0225,0.252054795,,
2022-03-15,2022-03-17,Lelang,SPN12230303,spn12m,2023-03-03,Diskonto,0.025,0.0278038,0.0305,0.025,0.02516,0.0254,20000000,17702000,49161700,11600000,32450000,2000000,17250000,8.851,0.0275,0.967123288,,
