tanggal_lelang_pricing,code,tenor,ust_10y,ust_2y,vix,move,dxy,ndf_1m,ndf_12m,idr_regn,ust_3m,xau_gold,inflation,slope_10y_2y,slope_2y_3m,cds_5y,indo_10y,tenor_x_ust10y,vix_x_move,prev_owners_estimate_code,prev_way_awarded_code,days_since_prev_auction_code,auctions_since_prev_code,prev_bid_to_cover_ratio_code,prev_total_penawaran_code,prev_total_penawaran_diterima_code,owners_estimate
16/05/2023,bm30,28.24366872,3.505,4.013,17.12,127.89,102.434,0.027027027,1.222972973,14800,5.133,2016.49,4.35,-0.508,-1.12,95.545,6.543351,98.99405886,2189.4768,6.99,6.98903,35,77,3.2815,1312600,400000,6.86
16/05/2023,bm10,9.749486653,3.505,4.013,17.12,127.89,102.434,0.027027027,1.222972973,14800,5.133,2016.49,4.35,-0.508,-1.12,95.545,6.543351,34.17195072,2189.4768,6.64,6.63068,35,77,2.090483871,19441500,9300000,6.37
16/05/2023,bm20,20.07665982,3.505,4.013,17.12,127.89,102.434,0.027027027,1.222972973,14800,5.133,2016.49,4.35,-0.508,-1.12,95.545,6.543351,70.36869267,2189.4768,6.95,6.94964,35,77,7.932,1586400,200000,6.7
16/05/2023,spn03m,0.251882272,3.505,4.013,17.12,127.89,102.434,0.027027027,1.222972973,14800,5.133,2016.49,4.35,-0.508,-1.12,95.545,6.543351,0.882847363,2189.4768,4.45,4.444,35,77,1,50000,50000,4.3
29/05/2023,bm05,5.210130048,3.8,4.563,17.95,145.37,104.206,0.354396523,1.263791374,14955,5.263,1946.46,4.35,-0.763,-0.7,90.34,6.554185,19.79849418,2609.3915,6.05,6.04642,13,78,5.851521739,13458500,2300000,6.03
29/05/2023,bm30,28.20807666,3.8,4.563,17.95,145.37,104.206,0.354396523,1.263791374,14955,5.263,1946.46,4.35,-0.763,-0.7,90.34,6.554185,107.1906913,2609.3915,6.86,6.85991,13,78,4.169444444,3752500,900000,6.83
29/05/2023,spn12m,0.996577687,3.8,4.563,17.95,145.37,104.206,0.354396523,1.263791374,14955,5.263,1946.46,4.35,-0.763,-0.7,90.34,6.554185,3.786995211,2609.3915,5.28,5.27941,13,78,1.7375,2780000,1600000,5.3
29/05/2023,sdg07,7.375770021,3.8,4.563,17.95,145.37,104.206,0.354396523,1.263791374,14955,5.263,1946.46,4.35,-0.763,-0.7,90.34,6.554185,28.02792608,2609.3915,6.55,6.55,118,3,1.355714286,6168500,4550000,6.25
29/05/2023,bm20,20.04106776,3.8,4.563,17.95,145.37,104.206,0.354396523,1.263791374,14955,5.263,1946.46,4.35,-0.763,-0.7,90.34,6.554185,76.15605749,2609.3915,6.7,6.6922,13,78,3.046914286,5332100,1750000,6.7
29/05/2023,spn03m,0.246406571,3.8,4.563,17.95,145.37,104.206,0.354396523,1.263791374,14955,5.263,1946.46,4.35,-0.763,-0.7,90.34,6.554185,0.93634497,2609.3915,4.3,4.279,13,78,1.2,1200000,1000000,4.3
29/05/2023,bm10,9.713894593,3.8,4.563,17.95,145.37,104.206,0.354396523,1.263791374,14955,5.263,1946.46,4.35,-0.763,-0.7,90.34,6.554185,36.91279945,2609.3915,6.37,6.36362,13,78,8.399785714,23519400,2800000,6.39
29/05/2023,bm15,15.04175222,3.8,4.563,17.95,145.37,104.206,0.354396523,1.263791374,14955,5.263,1946.46,4.35,-0.763,-0.7,90.34,6.554185,57.15865844,2609.3915,6.63,6.62937,13,78,3.313182796,15406300,4650000,6.68
13/06/2023,bm30,28.1670089,3.739,4.579,15.01,119.8,103.654,0.073999327,0.827447023,14865,5.226,1957.84,4.09,-0.84,-0.647,83.68,6.401699,105.3164463,1798.198,6.83,6.82206,15,79,2.144518519,2895100,1350000,6.74
13/06/2023,bm20,20,3.739,4.579,15.01,119.8,103.654,0.073999327,0.827447023,14865,5.226,1957.84,4.09,-0.84,-0.647,83.68,6.401699,74.78,1798.198,6.7,6.7,15,79,2.380045455,5236100,2200000,6.58
13/06/2023,spn03m,0.249144422,3.739,4.579,15.01,119.8,103.654,0.073999327,0.827447023,14865,5.226,1957.84,4.09,-0.84,-0.647,83.68,6.401699,0.931550994,1798.198,4.3,0,15,79,0,0,900000,4.2
13/06/2023,spn12m,0.709103354,3.739,4.579,15.01,119.8,103.654,0.073999327,0.827447023,14865,5.226,1957.84,4.09,-0.84,-0.647,83.68,6.401699,2.651337441,1798.198,5.3,5.2815,15,79,1.5,3000000,2000000,5.22
13/06/2023,bm10,9.672826831,3.739,4.579,15.01,119.8,103.654,0.073999327,0.827447023,14865,5.226,1957.84,4.09,-0.84,-0.647,83.68,6.401699,36.16669952,1798.198,6.39,6.38714,15,79,4.206285714,14722000,3500000,6.23
13/06/2023,bm05,5.169062286,3.739,4.579,15.01,119.8,103.654,0.073999327,0.827447023,14865,5.226,1957.84,4.09,-0.84,-0.647,83.68,6.401699,19.32712389,1798.198,6.03,6.0188,15,79,2.460689655,10704000,4350000,5.86
13/06/2023,bm15,15.00068446,3.739,4.579,15.01,119.8,103.654,0.073999327,0.827447023,14865,5.226,1957.84,4.09,-0.84,-0.647,83.68,6.401699,56.0875592,1798.198,6.68,6.67768,15,79,6.833875,10934200,1600000,6.48
27/06/2023,bm10,9.620807666,3.723,4.745,14.25,109.02,102.692,0.293040293,0.845820846,15015,5.315,1923.26,4.09,-1.022,-0.57,90.32,6.361278,35.81826694,1553.535,6.23,6.20438,14,80,6.295696203,24868000,3950000,6.23
27/06/2023,bm15,14.9486653,3.723,4.745,14.25,109.02,102.692,0.293040293,0.845820846,15015,5.315,1923.26,4.09,-1.022,-0.57,90.32,6.361278,55.65388091,1553.535,6.48,6.45479,14,80,4.289411765,18230000,4250000,6.44
27/06/2023,spn03m,0.657084189,3.723,4.745,14.25,109.02,102.692,0.293040293,0.845820846,15015,5.315,1923.26,4.09,-1.022,-0.57,90.32,6.361278,2.446324436,1553.535,4.2,0,14,80,0,0,1350000,4.25
27/06/2023,bm20,19.94798084,3.723,4.745,14.25,109.02,102.692,0.293040293,0.845820846,15015,5.315,1923.26,4.09,-1.022,-0.57,90.32,6.361278,74.26633267,1553.535,6.58,6.57633,14,80,6.843571429,9581000,1400000,6.53
27/06/2023,bm30,28.11498973,3.723,4.745,14.25,109.02,102.692,0.293040293,0.845820846,15015,5.315,1923.26,4.09,-1.022,-0.57,90.32,6.361278,104.6721068,1553.535,6.74,6.73069,14,80,4.1224,7214200,1750000,6.71
27/06/2023,spn12m,0.985626283,3.723,4.745,14.25,109.02,102.692,0.293040293,0.845820846,15015,5.315,1923.26,4.09,-1.022,-0.57,90.32,6.361278,3.669486652,1553.535,5.22,5.21978,14,80,1.24516129,1930000,1550000,5.3
27/06/2023,bm05,5.117043121,3.723,4.745,14.25,109.02,102.692,0.293040293,0.845820846,15015,5.315,1923.26,4.09,-1.022,-0.57,90.32,6.361278,19.05075154,1553.535,5.86,5.8551,14,80,6.866190476,14419000,2100000,5.85
11/07/2023,spn12m,0.747433265,3.997,4.861,15.07,131.73,101.972,0.144784469,0.83580125,15195,5.365,1925.35,3.54,-0.864,-0.504,88.455,6.355845,2.98749076,1985.1711,5.3,5.3,14,81,1.5625,1250000,800000,5.23
11/07/2023,bm15,14.92402464,3.997,4.861,15.07,131.73,101.972,0.144784469,0.83580125,15195,5.365,1925.35,3.54,-0.864,-0.504,88.455,6.355845,59.65132649,1985.1711,6.44,6.43986,14,81,2.789032258,8646000,3100000,6.4
11/07/2023,bm20,19.92334018,3.997,4.861,15.07,131.73,101.972,0.144784469,0.83580125,15195,5.365,1925.35,3.54,-0.864,-0.504,88.455,6.355845,79.6335907,1985.1711,6.53,6.52933,14,81,2.372765957,5576000,2350000,6.48
